prefix;country
Z3;North Macedonia
Z6;Kosovo
Z8;South Sudan
ZA;Albania
ZB2;Gibraltar
ZC4;Sovereign Base Areas of Akrotiri and Dhekelia
ZD7;St. Helena
ZD8;Ascension Island
ZD9;Tristan da Cunha and Gough Islands
ZF;Cayman Islands
ZK3;Tokelau
ZL;New Zealand
ZM;New Zealand
ZL7;Chatham Islands
ZL8;Kermadec Islands
ZL9;New Zealand Subantarctic Islands
ZP;Paraguay
ZR;South Africa
ZS;South Africa
ZT;South Africa
ZU;South Africa
ZS8;Prince Edward and Marion Islands
nan;Abu Ail Islands
nan;Blenheim Reef
nan;Geyser Reef
1M;Minerva Reefs
4W;Yemen Arab Republic
7J1;Okinotorishima
8Z4;Saudi Arabia/Iraq Neutral Zone
8Z5;Kuwait/Saudi Arabia Neutral Zone
9K3;Kuwait/Saudi Arabia Neutral Zone
9S4;Saar
9U5;Ruanda-Urundi
AC3;Sikkim
AC4;Tibet
C9;Manchuria
CN2;Tangier
CR8;Daman and Diu
CR8;Goa
CR8;Portuguese Timor
CR10;Portuguese Timor
DA;West Germany
DB;West Germany
DC;West Germany
DD;West Germany
DE;West Germany
DF;West Germany
DG;West Germany
DH;West Germany
DI;West Germany
DJ;West Germany
DK;West Germany
DL;West Germany
DM;East Germany
Y2;East Germany
Y3;East Germany
Y4;East Germany
Y5;East Germany
Y6;East Germany
Y7;East Germany
Y8;East Germany
Y9;East Germany
EA9;Ifni
FF;French West Africa
FH;Comoros
FB8;Comoros
FI8;French Indo-China
FN8;French India
FQ8;French Equatorial Africa
HK0;Bajo Nuevo
HK0;Serrana Bank & Roncador Cay
KP3;Serrana Bank & Roncador Cay
KS4;Serrana Bank & Roncador Cay
I1;Trieste
I5;Italian Somaliland
JZ0;Netherlands New Guinea
KH5K;Kingman Reef
KR6;Ryukyu Islands
KR8;Ryukyu Islands
JR6;Ryukyu Islands
KA6;Ryukyu Islands
KS4;Swan Is.
KZ5;Panama Canal Zone
OK;Czechoslovakia
OL;Czechoslovakia
OM;Czechoslovakia
P2;Papua Territory
VK9;Papua Territory
P2;Territory of New Guinea
VK9;Territory of New Guinea
PJ;Bonaire and Curaçao
PJ;St. Maarten, Saba, St. Eustatius
PK1;Java
PK2;Java
PK3;Java
PK4;Sumatra
PK5;Netherlands Borneo
PK6;Celebes and the Molucca Islands
R1/M;Maly Vysotsky Island
ST0;Southern Sudan
UN1;Karelo-Finnish Soviet Socialist Republic
VO;Newfoundland, Labrador
VQ1;Zanzibar
5H1;Zanzibar
VQ6;British Somaliland
VQ9;Aldabra
VQ9;Desroches Island
VQ9;Farquhar Group
VS2;Malaya
9M2;Malaya
VS4;Sarawak
VS9A;People's Democratic Rep. of Yemen
VS9P;People's Democratic Rep. of Yemen
VS9S;People's Democratic Rep. of Yemen
VS9H;Khuriya Muriya Islands
VS9K;Kamaran Island
ZC5;British North Borneo
ZC6;Palestine
4X1;Palestine
ZD4;British Togoland
ZS0;Penguin Is.
ZS1;Penguin Is.
ZS9;Walvis Bay
